Wavelength,Flux,BestFit,SkyFlux
4114.338,11.162,11.741,5.375
4115.286,12.131,11.764,5.969
4116.233,11.123,11.779,6.348
4117.181,12.487,11.792,5.964
4118.130,12.126,11.812,5.624
4119.078,11.782,11.841,5.494
4120.026,12.258,11.870,5.171
4120.975,12.233,11.887,5.389
4121.924,11.828,11.893,5.811
4122.873,12.067,11.892,6.292
4123.823,11.969,11.888,6.497
4124.772,11.557,11.881,7.066
4125.722,11.630,11.869,6.868
4126.672,12.227,11.855,6.612
4127.623,11.857,11.849,6.981
4128.573,11.580,11.857,7.251
4129.524,12.003,11.880,7.108
4130.475,12.558,11.914,6.689
4131.426,12.195,11.956,6.647
4132.378,11.152,12.000,6.582
4133.329,11.749,12.043,6.658
4134.281,12.796,12.085,7.134
4135.233,12.582,12.123,7.147
4136.185,12.062,12.145,7.465
4137.138,12.123,12.144,7.438
4138.091,12.297,12.120,7.316
4139.044,11.766,12.084,7.286
4139.997,12.690,12.048,6.678
4140.950,11.685,12.023,6.735
4141.904,11.248,12.014,6.389
4142.858,12.331,12.018,5.779
4143.812,12.702,12.031,5.406
4144.766,11.328,12.048,5.530
4145.720,12.115,12.060,6.068
4146.675,12.279,12.059,6.081
4147.630,12.214,12.046,5.945
4148.585,12.321,12.023,5.685
4149.540,11.946,11.996,5.674
4150.496,11.171,11.971,5.359
4151.452,11.635,11.948,5.009
4152.408,11.947,11.931,5.261
4153.364,11.577,11.923,5.585
4154.321,11.304,11.929,6.233
4155.277,11.866,11.944,7.198
4156.234,12.176,11.961,8.230
4157.191,10.482,11.976,8.546
4158.149,11.554,11.987,8.152
4159.106,12.697,11.995,7.551
4160.064,12.490,11.999,7.584
4161.022,12.329,11.998,7.581
4161.980,12.078,11.995,7.638
4162.939,11.603,11.993,8.125
4163.897,13.690,11.987,8.541
4164.856,13.237,11.968,9.394
4165.815,11.994,11.931,9.966
4166.775,13.965,11.880,9.688
4167.734,12.779,11.823,9.155
4168.694,12.064,11.772,9.888
4169.654,13.081,11.732,10.129
4170.614,12.730,11.705,9.825
4171.574,11.227,11.690,9.687
4172.535,11.302,11.690,9.586
4173.496,12.091,11.700,9.109
4174.457,10.921,11.711,8.649
4175.418,12.862,11.719,7.882
4176.380,14.003,11.729,7.383
4177.342,12.574,11.744,7.438
4178.304,11.367,11.763,7.927
4179.266,11.845,11.784,7.903
4180.228,12.371,11.796,7.878
4181.191,12.977,11.795,7.411
4182.154,12.970,11.786,6.933
4183.117,12.310,11.778,6.552
4184.080,11.504,11.773,6.585
4185.044,10.767,11.773,6.562
4186.007,11.782,11.781,6.814
4186.971,12.226,11.802,6.512
4187.936,11.570,11.833,5.929
4188.900,11.270,11.861,5.550
4189.865,11.790,11.874,5.655
4190.830,10.683,11.865,6.202
4191.795,11.207,11.835,6.387
4192.760,11.665,11.791,6.474
4193.725,10.665,11.744,6.099
4194.691,9.979,11.698,5.927
4195.657,11.470,11.664,5.619
4196.623,12.325,11.646,5.594
4197.590,11.379,11.644,5.426
4198.556,11.132,11.653,4.852
4199.523,10.783,11.670,4.897
4200.490,10.719,11.689,4.704
4201.458,11.377,11.709,5.032
4202.425,10.162,11.727,5.071
4203.393,11.744,11.741,4.932
4204.361,11.063,11.746,4.734
4205.329,10.602,11.746,4.908
4206.298,11.679,11.747,5.152
4207.266,11.968,11.747,5.718
4208.235,10.769,11.741,6.380
4209.204,11.859,11.727,6.524
4210.174,12.190,11.709,5.909
4211.143,12.369,11.689,5.252
4212.113,12.222,11.668,5.329
4213.083,11.163,11.650,5.395
4214.053,11.690,11.639,5.270
4215.023,12.196,11.637,5.194
4215.994,11.261,11.642,5.185
4216.965,11.533,11.648,5.485
4217.936,12.500,11.643,5.358
4218.907,11.860,11.621,4.928
4219.879,11.664,11.580,4.551
4220.851,11.172,11.526,4.740
4221.823,11.374,11.473,4.809
4222.795,11.222,11.439,4.609
4223.767,11.055,11.433,4.691
4224.740,11.572,11.454,4.924
4225.713,10.814,11.492,4.957
4226.686,11.225,11.533,4.638
4227.659,12.159,11.559,3.987
4228.633,12.714,11.556,3.765
4229.607,12.294,11.526,4.253
4230.581,11.189,11.489,4.470
4231.555,10.964,11.465,4.775
4232.530,11.365,11.459,4.773
4233.504,10.641,11.471,4.741
4234.479,10.999,11.490,4.772
4235.454,12.104,11.506,4.820
4236.430,11.683,11.514,4.947
4237.405,11.267,11.519,4.891
4238.381,11.783,11.521,4.616
4239.357,10.804,11.518,4.515
4240.333,11.248,11.508,4.500
4241.310,12.701,11.488,4.301
4242.287,12.052,11.459,4.500
4243.263,11.178,11.427,4.517
4244.241,11.204,11.394,4.414
4245.218,11.055,11.366,4.638
4246.196,11.751,11.355,5.618
4247.173,11.953,11.364,6.852
4248.152,10.599,11.381,7.139
4249.130,12.037,11.396,6.477
4250.108,11.798,11.412,5.606
4251.087,12.120,11.430,5.358
4252.066,12.049,11.446,5.756
4253.045,11.498,11.446,5.885
4254.025,11.297,11.430,6.078
4255.004,10.269,11.406,5.934
4255.984,12.019,11.382,5.568
4256.964,11.485,11.365,5.602
4257.945,10.901,11.359,6.169
4258.925,11.141,11.367,6.033
4259.906,10.798,11.392,5.940
4260.887,11.931,11.425,5.328
4261.868,12.096,11.449,4.847
4262.849,12.541,11.454,4.932
4263.831,12.169,11.437,5.021
4264.813,11.127,11.398,5.420
4265.795,11.033,11.345,5.698
4266.778,11.588,11.289,5.750
4267.760,11.351,11.238,5.887
4268.743,11.083,11.200,5.658
4269.726,11.963,11.182,5.565
4270.709,12.553,11.189,5.190
4271.693,11.268,11.214,5.113
4272.676,11.097,11.247,5.192
4273.660,11.529,11.281,5.146
4274.644,12.037,11.309,5.040
4275.629,11.275,11.324,4.821
4276.613,10.398,11.319,5.128
4277.598,11.159,11.299,5.274
4278.583,11.211,11.274,5.312
4279.569,11.196,11.249,5.245
4280.554,10.339,11.227,5.195
4281.540,10.233,11.205,5.294
4282.526,11.325,11.178,5.296
4283.512,11.967,11.142,5.214
4284.499,11.040,11.100,5.184
4285.485,10.766,11.061,5.219
4286.472,10.972,11.036,5.187
4287.459,11.392,11.025,5.077
4288.447,11.541,11.026,4.823
4289.434,11.358,11.038,4.613
4290.422,11.957,11.054,4.305
4291.410,11.637,11.059,4.389
4292.398,11.570,11.042,4.830
4293.387,11.158,11.004,5.372
4294.375,10.852,10.956,5.233
4295.364,11.696,10.905,5.341
4296.353,11.941,10.852,5.250
4297.343,10.736,10.809,5.285
4298.332,10.586,10.787,5.212
4299.322,10.998,10.789,5.009
4300.312,11.378,10.807,4.739
4301.303,11.763,10.827,4.508
4302.293,11.311,10.838,4.268
4303.284,11.424,10.843,3.981
4304.275,11.099,10.848,4.212
